=========================UL=========================
datettime              UL-Tput   UL-RbNum UL-MCS UL-Bler UL-nonWPuschBler
20230213.180950.903096 334.830139 198.0 26.0 0.0 0.0 
20230213.181000.903227 336.138947 198.0 26.0 0.0 0.0 
20230213.181010.903367 333.330750 198.0 26.0 0.0 0.0 
20230213.181020.903505 335.752258 198.0 26.0 0.0 0.0 
20230213.181030.903648 334.055939 198.0 26.0 0.0 0.0 
20230213.181040.903791 335.015869 198.0 26.0 0.1 0.1 
20230213.181050.903932 334.225403 198.0 26.0 0.1 0.1 
20230213.181100.904071 332.815552 198.0 26.0 0.0 0.0 
20230213.181110.904214 335.679840 198.0 26.0 0.0 0.0 
20230213.181120.904362 333.036957 198.0 26.0 0.0 0.0 
20230213.181130.904504 334.979156 198.0 26.0 0.0 0.0 
20230213.181140.904645 335.471741 198.0 26.0 0.0 0.0 
20230213.181150.904783 333.306213 198.0 26.0 0.0 0.0 
20230213.181200.904920 335.578918 198.0 26.0 0.0 0.0 
20230213.181210.905066 334.836334 198.0 26.0 0.0 0.0 
20230213.181220.905198 332.353455 198.0 26.0 0.0 0.0 
20230213.181230.905340 335.724731 198.0 26.0 0.1 0.1 
20230213.181240.905476 333.211395 198.0 26.0 0.0 0.0 
20230213.181250.905620 334.630341 198.0 26.0 0.1 0.1 
20230213.181300.905760 334.746490 198.0 26.0 0.0 0.0 
20230213.181310.905904 335.424805 198.0 26.0 0.0 0.0 
20230213.181320.906046 335.127045 198.0 26.0 0.0 0.0 
20230213.181330.906183 334.150848 198.0 26.0 0.0 0.0 
20230213.181340.906324 334.039612 198.0 26.0 0.0 0.0 
20230213.181350.906470 333.216431 198.0 26.0 0.0 0.0 
20230213.181400.906608 334.531311 198.0 26.0 0.1 0.1 
20230213.181410.906745 334.453796 198.0 26.0 0.0 0.0 
20230213.181420.906887 335.867523 198.0 26.0 0.0 0.0 
20230213.181430.907028 333.405121 198.0 26.0 0.0 0.0 
20230213.181440.907169 334.319153 198.0 26.0 0.0 0.0 
20230213.181450.907320 335.198364 198.0 26.0 0.0 0.0 
20230213.181500.907470 334.866882 198.0 26.0 0.0 0.0 
20230213.181510.907598 334.995392 198.0 26.0 0.0 0.0 
20230213.181520.907733 334.345703 198.0 26.0 0.0 0.0 
20230213.181530.907878 333.599060 198.0 26.0 0.0 0.0 
20230213.181540.908015 333.721344 198.0 26.0 0.0 0.0 
20230213.181550.908162 335.433990 198.0 26.0 0.0 0.0 
20230213.181600.908298 334.677185 198.0 26.0 0.0 0.0 
20230213.181610.908437 334.393646 198.0 26.0 0.0 0.0 
20230213.181620.908576 334.639374 198.0 26.0 0.0 0.0 
20230213.181630.908720 334.511902 198.0 26.0 0.0 0.0 
20230213.181640.908872 333.941742 198.0 26.0 0.0 0.0 
20230213.181650.908998 332.691223 198.0 26.0 0.3 0.3 
20230213.181700.909140 335.609436 198.0 26.0 0.0 0.0 
20230213.181710.909284 334.415955 198.0 26.0 0.0 0.0 
20230213.181720.909423 334.682312 198.0 26.0 0.0 0.0 
20230213.181730.909565 334.033539 198.0 26.0 0.0 0.0 
20230213.181740.909703 334.349670 198.0 26.0 0.0 0.0 
20230213.181750.909846 334.337433 198.0 26.0 0.1 0.1 
20230213.181800.909989 335.164795 198.0 26.0 0.0 0.0 
20230213.181810.910130 334.979126 198.0 26.0 0.0 0.0 
20230213.181820.910279 333.329651 198.0 26.0 0.0 0.0 
20230213.181830.910421 334.887268 198.0 26.0 0.0 0.0 
20230213.181840.910561 334.377258 198.0 26.0 0.1 0.1 
20230213.181850.910692 333.746002 198.0 26.0 0.0 0.0 
20230213.181900.910836 334.657745 198.0 26.0 0.0 0.0 
20230213.181910.910976 334.319092 198.0 26.0 0.0 0.0 
20230213.181920.911118 334.202881 198.0 26.0 0.0 0.0 
20230213.181930.911256 333.629608 198.0 26.0 0.1 0.1 
20230213.181940.911398 335.080048 198.0 26.0 0.0 0.0 
20230213.181950.911541 334.130402 198.0 26.0 0.0 0.0 
20230213.182000.911679 333.745911 198.0 26.0 0.0 0.0 
20230213.182010.911829 335.758453 198.0 26.0 0.0 0.0 
20230213.182020.911959 334.567963 198.0 26.0 0.0 0.0 
20230213.182030.912103 334.403748 198.0 26.0 0.0 0.0 
20230213.182040.912241 335.115845 198.0 26.0 0.0 0.0 
20230213.182050.912385 334.229462 198.0 26.0 0.0 0.0 
20230213.182100.912525 332.920593 198.0 26.0 0.0 0.0 
20230213.182110.912668 335.696136 198.0 26.0 0.1 0.1 
20230213.182120.912808 333.341980 198.0 26.0 0.0 0.0 
20230213.182130.912948 335.043396 198.0 26.0 0.0 0.0 
20230213.182140.913086 334.389465 198.0 26.0 0.0 0.0 
20230213.182150.913238 334.364990 198.0 26.0 0.0 0.0 
20230213.182200.913379 335.029053 198.0 26.0 0.0 0.0 
20230213.182210.913510 332.376038 198.0 26.0 0.0 0.0 
20230213.182220.913657 337.168091 198.0 26.0 0.0 0.0 
20230213.182230.913801 333.356140 198.0 26.0 0.0 0.0 
20230213.182240.913931 335.021973 198.0 26.0 0.0 0.0 
20230213.182250.914072 334.328369 198.0 26.0 0.0 0.0 
20230213.182300.914215 333.303131 198.0 26.0 0.0 0.0 
20230213.182310.914356 336.267395 198.0 26.0 0.0 0.0 
20230213.182320.914492 333.858093 198.0 26.0 0.0 0.0 
20230213.182330.914636 335.227112 198.0 26.0 0.0 0.0 
20230213.182340.914779 333.875366 198.0 26.0 0.0 0.0 
20230213.182350.914921 334.663879 198.0 26.0 0.0 0.0 
20230213.182400.915060 333.810120 198.0 26.0 0.0 0.0 
20230213.182410.915200 335.565674 198.0 26.0 0.0 0.0 
20230213.182420.915342 334.721985 198.0 26.0 0.0 0.0 
20230213.182430.915483 332.723724 198.0 26.0 0.0 0.0 
20230213.182440.915624 335.171936 198.0 26.0 0.0 0.0 
20230213.182450.915763 334.375336 198.0 26.0 0.0 0.0 
20230213.182500.915907 335.772644 198.0 26.0 0.0 0.0 
20230213.182510.916053 333.131775 198.0 26.0 0.0 0.0 
20230213.182520.916205 334.914886 198.0 26.0 0.0 0.0 
20230213.182530.916333 334.645569 198.0 26.0 0.0 0.0 
20230213.182540.916475 335.258545 198.0 26.0 0.0 0.0 
20230213.182550.916613 335.017822 198.0 26.0 0.0 0.0 
20230213.182600.916753 332.382080 198.0 26.0 0.0 0.0 
20230213.182610.916894 335.369812 198.0 26.0 0.0 0.0 
20230213.182620.917031 333.427551 198.0 26.0 0.0 0.0 
20230213.182630.917174 334.827087 198.0 26.0 0.0 0.0 
20230213.182640.917318 334.690369 198.0 26.0 0.2 0.2 
20230213.182650.917456 332.227051 198.0 26.0 0.0 0.0 
20230213.182700.917613 336.023621 198.0 26.0 0.0 0.0 
20230213.182710.917740 334.117126 198.0 26.0 0.0 0.0 
20230213.182720.917883 335.100525 198.0 26.0 0.0 0.0 
20230213.182730.918022 334.078430 198.0 26.0 0.0 0.0 
20230213.182740.918164 333.396973 198.0 26.0 0.0 0.0 
20230213.182750.918302 335.299377 198.0 26.0 0.0 0.0 
20230213.182800.918445 333.366455 198.0 26.0 0.0 0.0 
20230213.182810.918584 335.627869 198.0 26.0 0.0 0.0 
20230213.182820.918723 332.260651 198.0 26.0 0.0 0.0 
20230213.182830.918863 336.175598 198.0 26.0 0.0 0.0 
20230213.182840.919013 335.709473 198.0 26.0 0.0 0.0 
20230213.182850.919155 333.199219 198.0 26.0 0.0 0.0 
20230213.182900.919289 333.669312 198.0 26.0 0.1 0.1 
20230213.182910.919428 335.741028 198.0 26.0 0.0 0.0 
20230213.182920.919577 335.411652 198.0 26.0 0.1 0.1 
20230213.182930.919709 333.309387 198.0 26.0 0.0 0.0 
20230213.182940.919857 336.009338 198.0 26.0 0.0 0.0 
20230213.182950.919993 332.134155 198.0 26.0 0.0 0.0 
20230213.183000.920133 334.704742 198.0 26.0 0.0 0.0 
20230213.183010.920272 335.288177 198.0 26.0 0.0 0.0 
20230213.183020.920422 334.997406 198.0 26.0 0.0 0.0 
20230213.183030.920554 333.848846 198.0 26.0 0.0 0.0 
20230213.183040.920701 334.246765 198.0 26.0 0.0 0.0 
20230213.183050.920835 335.315765 198.0 26.0 0.0 0.0 
20230213.183100.920979 334.851532 198.0 26.0 0.1 0.1 
20230213.183110.921118 332.687012 198.0 26.0 0.0 0.0 
