=========================UL=========================
datettime              UL-Tput   UL-RbNum UL-MCS UL-Bler UL-nonWPuschBler
20230213.180050.895542 55.712566 263.4 20.0 0.0 0.1 
20230213.180100.895689 81.414391 266.1 20.0 0.0 0.0 
20230213.180110.895844 81.424713 266.1 20.0 0.0 0.0 
20230213.180120.895970 81.414383 266.1 20.0 0.0 0.0 
20230213.180130.896110 81.373093 266.1 20.0 0.0 0.0 
20230213.180140.896250 81.424698 266.1 20.0 0.0 0.0 
20230213.180150.896406 81.331772 266.1 20.0 0.0 0.0 
20230213.180200.896535 81.404053 266.1 20.0 0.0 0.0 
20230213.180210.896692 81.383415 266.1 20.0 0.0 0.1 
20230213.180220.896814 81.414375 266.1 20.0 0.0 0.0 
20230213.180230.896958 81.393738 266.1 20.0 0.0 0.1 
20230213.180240.897114 81.352417 266.1 20.0 0.0 0.0 
20230213.180250.897234 81.394913 266.1 20.0 0.0 0.0 
20230213.180300.897361 50.390266 265.1 20.0 0.0 0.0 
20230213.180310.897450 0.000085 68.2 20.0 0.0 0.0 
20230213.180320.897598 0.001624 115.4 9.0 0.0 0.0 
20230213.180330.897754 0.000309 103.7 9.0 0.0 0.0 
20230213.180400.898164 0.000059 90.0 9.0 0.0 0.0 
20230213.180410.898294 0.000592 110.9 9.0 0.0 0.0 
20230213.180420.898506 80.277740 266.0 19.9 0.0 0.0 
20230213.180430.898679 81.435013 266.1 20.0 0.0 0.0 
20230213.180440.898937 81.394897 266.1 20.0 0.0 0.0 
20230213.180450.898940 80.716896 266.1 20.0 0.0 0.3 
20230213.180500.899076 81.435013 266.1 20.0 0.0 0.0 
20230213.180510.899210 81.424805 266.1 20.0 0.0 0.0 
20230213.180520.899355 81.424698 266.1 20.0 0.0 0.0 
20230213.180530.899500 79.306419 266.0 20.0 0.0 0.0 
20230213.180540.899594 0.003669 19.6 20.0 0.0 0.0 
20230213.180550.899781 45.798203 261.7 20.0 0.0 0.0 
20230213.180600.899920 81.393715 266.1 20.0 0.0 0.0 
20230213.180610.900054 81.424698 266.1 20.0 0.0 0.0 
20230213.180620.900203 81.424690 266.1 20.0 0.0 0.0 
20230213.180630.900347 81.404037 266.1 20.0 0.0 0.0 
20230213.180640.900494 81.404030 266.1 20.0 0.0 0.0 
20230213.180650.900628 81.311104 266.1 20.0 0.0 0.2 
20230213.180700.900772 81.383377 266.1 20.0 0.0 0.1 
20230213.180710.900918 81.424698 266.1 20.0 0.0 0.0 
20230213.180720.901047 81.424683 266.1 20.0 0.0 0.0 
20230213.180730.901201 81.343262 266.1 20.0 0.0 0.1 
20230213.180740.901332 81.373055 266.1 20.0 0.0 0.1 
20230213.180750.901475 81.414352 266.1 20.0 0.0 0.0 
20230213.180800.901616 81.404045 266.1 20.0 0.0 0.0 
20230213.180810.901756 81.435028 266.1 20.0 0.0 0.0 
20230213.180820.901958 81.383377 266.1 20.0 0.0 0.1 
20230213.180830.902051 81.393700 266.1 20.0 0.0 0.0 
20230213.180840.902173 81.435028 266.1 20.0 0.0 0.0 
20230213.180850.902335 81.383377 266.1 20.0 0.0 0.0 
20230213.180900.902460 81.414375 266.1 20.0 0.0 0.0 
20230213.180910.902600 81.424690 266.1 20.0 0.0 0.0 
20230213.180920.902735 81.424698 266.1 20.0 0.0 0.0 
20230213.180930.902875 81.435036 266.1 20.0 0.0 0.0 
20230213.180940.903034 81.393723 266.1 20.0 0.0 0.1 
20230213.180950.903174 81.362717 266.1 20.0 0.0 0.1 
20230213.181000.903305 81.424675 266.1 20.0 0.0 0.0 
20230213.181010.903442 81.435028 266.1 20.0 0.0 0.0 
20230213.181020.903578 81.374222 266.1 20.0 0.0 0.0 
20230213.181030.903738 81.435013 266.1 20.0 0.0 0.0 
20230213.181040.903873 81.373062 266.1 20.0 0.0 0.0 
20230213.181050.904005 81.352425 266.1 20.0 0.0 0.1 
20230213.181100.904147 81.414383 266.1 20.0 0.0 0.0 
20230213.181110.904289 81.404037 266.1 20.0 0.0 0.0 
20230213.181120.904440 81.393715 266.1 20.0 0.0 0.1 
20230213.181130.904577 81.435013 266.1 20.0 0.0 0.0 
20230213.181140.904718 81.362747 266.1 20.0 0.0 0.0 
20230213.181150.904873 81.424698 266.1 20.0 0.0 0.0 
20230213.181200.904992 81.435013 266.1 20.0 0.0 0.0 
20230213.181210.905140 81.414391 266.1 20.0 0.0 0.0 
20230213.181220.905272 81.373062 266.1 20.0 0.0 0.1 
20230213.181230.905419 81.393753 266.1 20.0 0.0 0.1 
20230213.181240.905567 81.435005 266.1 20.0 0.0 0.0 
20230213.181250.905698 81.321442 266.1 20.0 0.0 0.1 
20230213.181300.905837 81.404037 266.1 20.0 0.0 0.0 
20230213.181310.905978 81.363930 266.1 20.0 0.0 0.0 
20230213.181320.906123 81.414352 266.1 20.0 0.0 0.0 
20230213.181330.906270 81.435013 266.1 20.0 0.0 0.0 
20230213.181340.906397 81.414360 266.1 20.0 0.0 0.0 
20230213.181350.906548 81.424690 266.1 20.0 0.0 0.0 
20230213.181400.906684 81.383400 266.1 20.0 0.0 0.1 
20230213.181410.906819 81.424675 266.1 20.0 0.0 0.0 
20230213.181420.906958 81.404030 266.1 20.0 0.0 0.0 
20230213.181430.907108 81.383400 266.1 20.0 0.0 0.0 
20230213.181440.907246 81.414368 266.1 20.0 0.0 0.0 
20230213.181450.907408 81.404037 266.1 20.0 0.0 0.0 
20230213.181500.907543 81.435013 266.1 20.0 0.0 0.0 
20230213.181510.907784 81.393715 266.1 20.0 0.0 0.1 
20230213.181520.907811 81.435028 266.1 20.0 0.0 0.0 
20230213.181530.907950 81.384567 266.1 20.0 0.0 0.0 
20230213.181540.908103 81.424690 266.1 20.0 0.0 0.0 
20230213.181550.908239 81.393723 266.1 20.0 0.0 0.1 
20230213.181600.908371 81.363892 266.1 20.0 0.0 0.0 
20230213.181610.908511 81.424706 266.1 20.0 0.0 0.0 
20230213.181620.908648 81.424683 266.1 20.0 0.0 0.0 
20230213.181630.908812 81.393723 266.1 20.0 0.0 0.1 
20230213.181640.908956 81.383392 266.1 20.0 0.0 0.1 
20230213.181650.909073 81.404037 266.1 20.0 0.0 0.0 
20230213.181700.909216 81.414368 266.1 20.0 0.0 0.0 
20230213.181710.909362 81.362740 266.1 20.0 0.0 0.1 
20230213.181720.909499 81.404053 266.1 20.0 0.0 0.0 
20230213.181730.909640 81.352448 266.1 20.0 0.0 0.1 
20230213.181740.909781 81.393723 266.1 20.0 0.0 0.1 
20230213.181750.909936 81.343246 266.1 20.0 0.0 0.1 
20230213.181800.910063 81.373070 266.1 20.0 0.0 0.1 
20230213.181810.910204 81.383408 266.1 20.0 0.0 0.1 
20230213.181820.910353 81.393715 266.1 20.0 0.0 0.1 
20230213.181830.910495 81.404053 266.1 20.0 0.0 0.0 
20230213.181840.910759 81.352417 266.1 20.0 0.0 0.1 
20230213.181850.910767 81.332947 266.1 20.0 0.0 0.1 
20230213.181900.910910 81.414375 266.1 20.0 0.0 0.0 
20230213.181910.911053 81.404045 266.1 20.0 0.0 0.0 
20230213.181920.911196 81.362747 266.1 20.0 0.0 0.1 
20230213.181930.911345 81.383385 266.1 20.0 0.0 0.0 
20230213.181940.911471 81.393723 266.1 20.0 0.0 0.1 
20230213.181950.911616 81.404068 266.1 20.0 0.0 0.0 
20230213.182000.911755 81.424683 266.1 20.0 0.0 0.0 
20230213.182010.911906 81.383385 266.1 20.0 0.0 0.1 
20230213.182020.912035 81.312302 266.1 20.0 0.0 0.1 
20230213.182030.912181 81.424690 266.1 20.0 0.0 0.0 
20230213.182040.912318 81.424706 266.1 20.0 0.0 0.0 
20230213.182050.912472 81.404037 266.1 20.0 0.0 0.0 
20230213.182100.912601 81.435020 266.1 20.0 0.0 0.0 
20230213.182110.912744 81.352402 266.1 20.0 0.0 0.1 
20230213.182120.912883 81.424690 266.1 20.0 0.0 0.0 
20230213.182130.913024 81.424721 266.1 20.0 0.0 0.0 
20230213.182140.913173 81.404037 266.1 20.0 0.0 0.0 
20230213.182150.913316 81.383377 266.1 20.0 0.0 0.0 
20230213.182200.913457 81.424698 266.1 20.0 0.0 0.0 
20230213.182210.913587 81.414383 266.1 20.0 0.0 0.0 
20230213.182220.913732 81.383400 266.1 20.0 0.0 0.1 
20230213.182230.913890 81.393723 266.1 20.0 0.0 0.0 
20230213.182240.914006 81.393723 266.1 20.0 0.0 0.1 
20230213.182250.914144 81.424721 266.1 20.0 0.0 0.0 
20230213.182300.914288 81.435005 266.1 20.0 0.0 0.0 
20230213.182310.914429 81.383385 266.1 20.0 0.0 0.1 
20230213.182320.914562 81.384567 266.1 20.0 0.0 0.0 
20230213.182330.914708 81.414352 266.1 20.0 0.0 0.0 
20230213.182340.914852 81.424690 266.1 20.0 0.0 0.0 
20230213.182350.915004 81.424713 266.1 20.0 0.0 0.0 
20230213.182400.915136 81.362740 266.1 20.0 0.0 0.1 
20230213.182410.915275 81.414360 266.1 20.0 0.0 0.0 
20230213.182420.915416 81.414368 266.1 20.0 0.0 0.0 
20230213.182430.915561 81.424698 266.1 20.0 0.0 0.0 
20230213.182440.915716 81.373077 266.1 20.0 0.0 0.0 
20230213.182450.915840 81.373062 266.1 20.0 0.0 0.1 
20230213.182500.915980 81.393723 266.1 20.0 0.0 0.1 
20230213.182510.916129 81.424683 266.1 20.0 0.0 0.0 
20230213.182520.916281 81.424698 266.1 20.0 0.0 0.0 
20230213.182530.916420 81.404030 266.1 20.0 0.0 0.0 
20230213.182540.916552 81.373062 266.1 20.0 0.0 0.1 
20230213.182550.916687 81.393715 266.1 20.0 0.0 0.0 
20230213.182600.916827 81.343262 266.1 20.0 0.0 0.0 
20230213.182610.916968 81.393738 266.1 20.0 0.0 0.1 
20230213.182620.917106 81.373070 266.1 20.0 0.0 0.1 
20230213.182630.917250 81.424698 266.1 20.0 0.0 0.0 
20230213.182640.917396 81.057968 266.1 19.9 0.0 0.1 
20230213.182650.917547 81.383392 266.1 20.0 0.0 0.1 
20230213.182700.917692 81.435020 266.1 20.0 0.0 0.0 
20230213.182710.917817 81.435028 266.1 20.0 0.0 0.0 
20230213.182720.917956 81.404053 266.1 20.0 0.0 0.0 
20230213.182730.918099 81.342117 266.1 20.0 0.0 0.1 
20230213.182740.918250 81.424683 266.1 20.0 0.0 0.0 
20230213.182750.918377 81.435020 266.1 20.0 0.0 0.0 
20230213.182800.918522 81.435013 266.1 20.0 0.0 0.0 
20230213.182810.918658 81.331779 266.1 20.0 0.0 0.1 
20230213.182820.918793 81.404037 266.1 20.0 0.0 0.0 
20230213.182830.918951 81.424698 266.1 20.0 0.0 0.0 
20230213.182840.919087 81.404030 266.1 20.0 0.0 0.0 
20230213.182850.919229 81.374222 266.1 20.0 0.0 0.0 
20230213.182900.919359 81.362747 266.1 20.0 0.0 0.1 
20230213.182910.919506 81.414383 266.1 20.0 0.0 0.0 
20230213.182920.919650 81.435028 266.1 20.0 0.0 0.0 
20230213.182930.919783 81.435036 266.1 20.0 0.0 0.0 
20230213.182940.919933 81.414375 266.1 20.0 0.0 0.0 
20230213.182950.920084 81.424667 266.1 20.0 0.0 0.0 
20230213.183000.920208 81.414383 266.1 20.0 0.0 0.0 
20230213.183010.920348 81.383377 266.1 20.0 0.0 0.1 
20230213.183020.920497 81.362747 266.1 20.0 0.0 0.0 
20230213.183030.920629 81.435013 266.1 20.0 0.0 0.0 
20230213.183040.920787 81.424698 266.1 20.0 0.0 0.0 
20230213.183050.920911 81.414383 266.1 20.0 0.0 0.0 
20230213.183100.921051 81.286499 266.1 20.0 0.0 0.1 
20230213.183110.921195 81.414368 266.1 20.0 0.0 0.0 
=========================DL=========================
datettime              DL-Tput   DL-RbNum DL-MCS DL-Bler DL-nonWPdschBler
20230213.174330.880802 0.000088 1.7 9.0 0.0 0.0 
20230213.174340.880929 0.000364 4.2 9.0 0.0 11.1 
20230213.174350.881072 0.000079 6.0 9.0 0.0 0.0 
20230213.174400.881211 0.005326 1.0 21.5 0.1 0.0 
20230213.174410.881385 323.358826 194.1 26.0 0.0 0.0 
20230213.174420.881531 333.887756 198.0 26.0 0.1 0.1 
20230213.174430.881673 333.048096 198.0 26.0 0.1 0.1 
20230213.174440.881817 334.374146 198.0 26.0 0.1 0.1 
20230213.174450.881951 334.401733 198.0 26.0 0.0 0.0 
20230213.174500.882099 332.440308 198.0 26.0 0.0 0.0 
20230213.174510.882235 334.376282 198.0 26.0 0.0 0.0 
20230213.174520.882375 334.371033 198.0 26.0 0.0 0.0 
20230213.174530.882518 334.475159 198.0 26.0 0.0 0.0 
20230213.174540.882666 334.478363 198.0 26.0 0.0 0.0 
20230213.174550.882809 334.373199 198.0 26.0 0.0 0.0 
20230213.174600.882949 333.922180 198.0 26.0 0.1 0.1 
20230213.174610.883078 333.234772 198.0 26.0 0.0 0.0 
20230213.174620.883223 335.064880 198.0 26.0 0.1 0.1 
20230213.174630.883375 335.080139 198.0 26.0 0.0 0.0 
20230213.174640.883504 332.895996 198.0 26.0 0.1 0.1 
20230213.174650.883642 334.421082 198.0 26.0 0.0 0.0 
20230213.174700.883787 334.415131 198.0 26.0 0.0 0.0 
20230213.174710.883927 334.505768 198.0 26.0 0.0 0.0 
20230213.174720.884070 334.474152 198.0 26.0 0.0 0.0 
20230213.174730.884209 334.351746 198.0 26.0 0.1 0.1 
20230213.174740.884350 334.467133 198.0 26.0 0.0 0.0 
20230213.174750.884491 334.444641 198.0 26.0 0.0 0.0 
20230213.174800.884640 334.429260 198.0 26.0 0.0 0.0 
20230213.174810.884774 334.625092 198.0 26.0 0.1 0.1 
20230213.174820.884924 333.948029 198.0 26.0 0.1 0.1 
20230213.174830.885051 332.833862 198.0 26.0 0.0 0.0 
20230213.174840.885192 334.368073 198.0 26.0 0.0 0.0 
20230213.174850.885333 334.677124 198.0 26.0 0.0 0.0 
20230213.174900.885469 190.716583 168.2 26.0 0.1 0.1 
20230213.174910.885618 334.363403 198.0 26.0 0.0 0.0 
20230213.174920.885743 164.505371 158.9 26.0 0.0 0.0 
20230213.174930.885903 257.197723 197.8 26.0 0.1 0.1 
20230213.174940.886046 334.562042 198.0 26.0 0.0 0.0 
20230213.174950.886171 235.804291 198.0 26.0 0.0 0.0 
20230213.175010.886419 0.000013 1.0 26.0 0.0 80.0 
20230213.175020.886554 0.000088 2.1 9.0 0.0 14.3 
20230213.175030.886734 108.266785 197.3 24.1 0.0 0.0 
