datettime              Tput   RbNum MCS PdschBler nonWPdschBler
20221018.165637.404969 0.000088 7.0 9.0 0.0 0.0 
20221018.165647.405134 0.000159 1.0 26.0 0.0 50.0 
20221018.165647.405144 0.000246 1.0 26.0 0.0 60.0 
20221018.165647.405153 0.000159 1.0 26.0 0.0 50.0 
20221018.165647.405162 0.000330 2.6 9.0 0.0 28.6 
20221018.165657.405300 0.000159 1.0 26.0 0.0 50.0 
20221018.165657.405310 0.000321 1.0 26.0 9.0 54.5 
20221018.165657.405320 0.000155 1.0 26.0 0.0 33.3 
20221018.165657.405329 0.000159 1.0 26.0 0.0 50.0 
20221018.165657.405337 0.000159 1.0 26.0 0.0 50.0 
20221018.165657.405346 0.000079 1.0 26.0 0.0 50.0 
20221018.165707.405471 0.000079 1.0 26.0 0.0 50.0 
20221018.165707.405482 0.000159 1.0 26.0 0.0 50.0 
20221018.165707.405491 0.000238 1.0 26.0 0.0 50.0 
20221018.165717.405645 0.056168 3.1 26.0 7.0 6.4 
20221018.165717.405657 0.054610 4.9 10.6 2.0 0.9 
20221018.165727.405814 0.130154 2.1 26.0 6.3 6.0 
20221018.165727.405826 0.000629 1.0 26.0 0.0 32.0 
20221018.165727.405836 0.051192 2.1 26.0 4.0 0.6 
20221018.165727.405854 0.060308 2.0 26.0 7.5 3.5 
20221018.165727.405864 0.041302 1.6 26.0 3.0 0.5 
20221018.165727.405874 0.126948 1.7 26.0 2.3 1.3 
20221018.165727.405884 0.108385 2.4 20.8 0.4 0.4 
20221018.165737.405979 0.093644 1.5 26.0 0.7 0.7 
20221018.165737.405990 0.010284 1.3 26.0 11.0 0.0 
20221018.165737.406000 0.019122 1.1 26.0 0.0 0.0 
20221018.165737.406012 0.120064 1.4 26.0 0.0 0.0 
20221018.165737.406024 0.106532 1.0 26.0 0.0 0.0 
20221018.165737.406034 0.034660 1.3 26.0 0.0 0.0 
20221018.165737.406044 0.108135 2.2 26.0 5.2 5.4 
20221018.165747.406149 0.069264 1.4 26.0 0.0 0.0 
20221018.165747.406160 0.012334 1.3 26.0 0.0 0.0 
20221018.165747.406171 0.043021 1.2 26.0 0.0 0.0 
20221018.165747.406183 0.124120 1.7 26.0 3.4 3.4 
20221018.165747.406196 0.105387 1.0 26.0 0.1 0.1 
20221018.165747.406205 0.007040 1.1 26.0 0.0 0.0 
20221018.165747.406216 0.071098 1.5 26.0 0.0 0.0 
20221018.165757.406335 0.142190 1.6 26.0 0.0 0.0 
20221018.165757.406353 0.013107 1.1 26.0 0.0 0.0 
20221018.165757.406363 0.005936 1.1 26.0 0.0 2.5 
20221018.165757.406375 0.105765 1.2 26.0 0.1 0.1 
20221018.165757.406387 0.107117 1.0 26.0 0.0 0.0 
20221018.165757.406396 0.002808 1.1 26.0 0.0 1.8 
20221018.165757.406405 0.042904 1.4 26.0 1.0 1.2 
20221018.165807.406498 0.050131 1.3 26.0 0.0 0.0 
20221018.165807.406509 0.006216 1.1 26.0 2.0 24.3 
20221018.165807.406521 0.074116 1.3 26.0 0.8 0.5 
20221018.165807.406548 0.105607 1.3 26.0 0.1 0.1 
20221018.165807.406561 0.107296 1.0 26.0 0.0 0.0 
20221018.165807.406570 0.003535 1.0 26.0 1.0 0.0 
20221018.165807.406580 0.079190 1.5 26.0 0.2 0.2 
20221018.165817.406664 0.015859 1.1 26.0 0.0 0.0 
20221018.165817.406676 0.008324 1.0 24.9 25.0 6.8 
20221018.165817.406689 0.125317 1.7 26.0 2.3 2.3 
20221018.165817.406702 0.115453 1.3 26.0 0.0 0.0 
20221018.165817.406716 0.105311 1.0 26.0 0.0 0.0 
20221018.165817.406725 0.003676 1.1 26.0 0.0 8.3 
20221018.165817.406736 0.063641 1.4 26.0 0.0 0.0 
20221018.165827.406821 0.052214 2.0 26.0 0.0 5.8 
20221018.165827.406832 0.007850 1.1 24.0 9.0 0.0 
